LANGUE;MODULE;FONCT;NUMERO;GRAVITES;GRAVITEP;LIBS;LIBP
"F";"HR";"ANO";"0456";" ";" ";" ";" "
"F";"HR";"ANO";"0457";" ";" ";" ";" "
"F";"HR";"ANO";"0458";" ";" ";" ";" "
"F";"HR";"ANO";"0459";" ";" ";" ";" "
"F";"HR";"ANO";"0460";" ";" ";" ";" "
"F";"HR";"ANO";"0461";" ";" ";" ";" "
"F";"HR";"ANO";"0462";" ";" ";" ";" "
"F";"HR";"ANO";"0463";" ";" ";" ";" "
"F";"HR";"ANO";"0464";" ";" ";" ";" "
"F";"HR";"ANO";"0465";" ";" ";" ";" "
"F";"HR";"ANO";"0466";" ";" ";" ";" "
"F";"HR";"ANO";"0467";" ";" ";" ";" "
"F";"HR";"ANO";"0468";" ";" ";" ";" "
"F";"HR";"ANO";"0469";" ";" ";" ";" "
"F";"HR";"ANO";"0470";" ";" ";" ";" "
"F";"HR";"ANO";"0471";" ";" ";" ";" "
"F";"HR";"ANO";"0472";" ";" ";" ";" "
"F";"HR";"ANO";"0473";" ";" ";" ";" "
"F";"HR";"ANO";"0474";" ";" ";" ";" "
